id;ref;name;description;from;to
6230932;1;Reseau MAT Ligne 1-A;Intra-Muros > Gares > Saint-Servan > La Madeleine;Intra-Muros;La Madeleine
6230958;1;Reseau MAT Ligne 1-B;La Madeleine > Saint-Servan > Gares > Intra-Muros;La Madeleine;Intra-Muros
6231001;2;Reseau MAT Ligne 2-B;La Madeleine > Découverte > Gares > Intra-Muros;La Madeleine;Intra-Muros
6231002;2;Reseau MAT Ligne 2-A;Intra-Muros > Gares > Découverte > La Madeleine;Intra-Muros;La Madeleine
6231064;3;Reseau MAT Ligne 3-A;Intra-Muros <> Gares <> Aristide Briand <> Gambetta <> Paramé <> Croix Désilles;Intra-Muros;Croix Désilles
6231197;3;Reseau MAT Ligne 3-B;Intra-Muros <> Gares <> Aristide Briand <> Gambetta <> Paramé <> Croix Désilles;Croix Désilles;Intra-Muros
6232493;4;Reseau MAT Ligne 4-A;Château-Malo <> Grassinais <> La Madeleine <> Bellevue <> Saint-Servan <> Gares <> Courtoisville <> Paramé <> IUT <> Rôthéneuf;Château-Malo;Rothéneuf
6232494;4;Reseau MAT Ligne 4-B;Château-Malo <> Grassinais <> La Madeleine <> Bellevue <> Saint-Servan <> Gares <> Courtoisville <> Paramé <> IUT <> Rôthéneuf;Rothéneuf;Château-Malo
6231230;5;Reseau MAT Ligne 5-A;Cancale <> Saint-Coulomb <> Croix Désilles <> Paramé <> Espérance <> Gares <> Hôpital <> Marne <> Bellevue <> Guymauvière <> ZI Sud <> La Madeleine <> Saint-Jouan-des-Guérêts;Cancale;Saint-Jouan
6231273;5;Reseau MAT Ligne 5-B;Cancale <> Saint-Coulomb <> Croix Désilles <> Paramé <> Espérance <> Gares <> Hôpital <> Marne <> Bellevue <> Guymauvière <> ZI Sud <> La Madeleine <> Saint-Jouan-des-Guérêts;Saint-Jouan;Cancale
6231329;6;Reseau MAT Ligne 6-A;Gares <> Saint-Servan <> Alet <> Rosais <> Doutreleau <> Flourie <> Quelmer;Gares;La Passagère
6231330;6;Reseau MAT Ligne 6-B;Gares <> Saint-Servan <> Alet <> Rosais <> Doutreleau <> Flourie <> Quelmer;La Passagère;Gares
6231407;7;Reseau MAT Ligne 7-A;Briantais <> La Flaudaie <> Place du Manoir <> Découverte <> Petit Paramé <> Paramé <> Saint-Ideuc <> La Haize;Briantais;La Haize
6231410;7;Reseau MAT Ligne 7-B;Briantais <> La Flaudaie <> Place du Manoir <> Découverte <> Petit Paramé <> Paramé <> Saint-Ideuc <> La Haize;La Haize;Briantais
2008995;8 Été;Reseau MAT Ligne 8 Été-A;Intra-Muros <> Sillon <> Courtoisville <> Rôthéneuf <> La Guimorais <> Fort du Guesclin <> Pointe du Grouin <> Cancale Eglise / Poste <> Cancale Port de la Houle <> Saint-Méloir-des-Ondes;Intra-Muros;Saint-Méloir-des-Ondes
6231420;8 Hiver;Reseau MAT Ligne 8 Hiver-A;Intra-Muros <> Sillon <> Courtoisville <> Kennedy <> Rôthéneuf;Intra-Muros;Rothéneuf
6231421;8 Hiver;Reseau MAT Ligne 8 Hiver-B;Intra-Muros <> Sillon <> Courtoisville <> Kennedy <> Rôthéneuf;Rothéneuf;Intra-Muros
8447182;8 Été;Reseau MAT Ligne 8 Été-B;Intra-Muros <> Sillon <> Courtoisville <> Rôthéneuf <> La Guimorais <> Fort du Guesclin <> Pointe du Grouin <> Cancale Eglise / Poste <> Cancale Port de la Houle <> Saint-Méloir-des-Ondes;Saint-Méloir-des-Ondes;Intra-Muros
5282882;9;Reseau MAT Ligne 9-A;Gares <> ZI Sud <> Clinique <> Saint-Méloir-des-Ondes <> La Gouesnière <> Saint-Père-Marc-en-Poulet <> Saint-Jouan-des-Guérêts <> ZAC Atalante <> La Madeleine <> Place du Manoir <> Bellevue <> Hôpital <> Gares;Gares;Gares
8446731;9;Reseau MAT Ligne 9-B;Gares <> ZI Sud <> Clinique <> Saint-Méloir-des-Ondes <> La Gouesnière <> Saint-Père-Marc-en-Poulet <> Saint-Jouan-des-Guérêts <> ZAC Atalante <> La Madeleine <> Place du Manoir <> Bellevue <> Hôpital <> Gares;Gares;Gares
